;;1.  1000-SS-05                    1         3A      Cable Area;SN;9;;;35-9;;22.09.2022;35;"002523 000000
244
466";22.09.2022;A5AX;1;;;C22 455 001;LCJ+XT;;X;X;X
;;2.  1000-SS-05                    1         3B      Cable Area;SN;9;;;35-9;;22.09.2022;35;"002523 000000
244
466";22.09.2022;A5AX;1;;;C22 455 002;LCJ+XT;;X;X;X
;;3.  1000-SS-05                    2         3C      Capacitor Area;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
468";22.09.2022;A5AX;1;;;C22 455 003;LCJ+XT;;X;X;;X
;;4.  1000-SS-05                    20        6       GIS Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
666";22.09.2022;A5AX;1;;;C22 455 004;LCJ+XT;;X;X;;;X
;;5.  1000-SS-05                    20        1       GIS Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
666";22.09.2022;A5AX;1;;;C22 455 005;LCJ+XT;;X;X;;;X
;;6.  1000-SS-05                    21        6       Switchgear RM-1;SN;9;;;35-9;;22.09.2022;35;"002523 000000
264
886";22.09.2022;A5AX;1;;;C22 455 006;LCJ+XT;;X;X;;;;X
;;7.  1000-SS-05                    21        1a      Switchgear RM-1;SN;9;;;35-9;;22.09.2022;35;"002523 000000
264
886";22.09.2022;A5AX;1;;;C22 455 007;LC+XT;;X;X;;;;X
;;8.  1000-SS-05                    22        6       Switchgear RM-2;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
866";22.09.2022;A5AX;1;;;C22 455 008;LCJ+XT;;X;X;;;;;X
;;9.  1000-SS-05                    22        1a      Switchgear RM-2;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
866";22.09.2022;A5AX;1;;;C22 455 009;LCJ+XT;;X;X;;;;;X
;;10. 1000-SS-05                    23        4       UPS Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
244
468";22.09.2022;A5AX;1;;;C22 455 010;LCJ+XT;;X;X;;;;;;X
;;11. 1000-SS-05                    24        9       OHS Room;SN;40;;;35-40;;22.09.2022;35;"002523 000000
224
868";22.09.2022;A5AX;1;;;C22 455 011;LC+XT;;X;X;;;;;;;X
;;12. 1000-SS-05                    25        7       Toilet;SN;40;;;35-40;;22.09.2022;35;"002523 000000
224
466";22.09.2022;A5AX;1;;;C22 455 012;LC+XT;;X;X;;;;;;;;X
;;13. 1000-SS-05                    25        7       Toilet;SN;40;;;35-40;;22.09.2022;35;"002523 000000
224
466";22.09.2022;A5AX;1;;;C22 455 013;LC+XT;;X;X;;;;;;;;X
;;14. 1000-SS-05                    26        4       HVAC Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
264
686";22.09.2022;A5AX;1;;;C22 455 014;LCJ+XT;;X;X;;;;;;;;;X
;;15. 1000-SS-05                    27        5       Battery Room;SN;50;;;35-50;;22.09.2022;35;"002523 000000
244
668";22.09.2022;A5AX;1;;;C22 455 015;LC+XT;;X;X;;;;;;;;;;X
;;16. 1000-SS-05                    28        1       Control Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
264
486";22.09.2022;A5AX;1;;;C22 455 016;LCJ+XT;;X;X;;;;;;;;;;;X
;;17. 1000-SS-05                    28        4       Control Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
264
486";22.09.2022;A5AX;1;;;C22 455 017;LCJ+XT;;X;X;;;;;;;;;;;X
;;18. 1000-SS-05                    29        4       Cylinder Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
244
666";22.09.2022;A5AX;1;;;C22 455 018;LCJ+XT;;X;X;;;;;;;;;;;;X
;;19. 1000-SS-05                    30        2       LV Switchgear room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
668";22.09.2022;A5AX;1;;;C22 455 019;LCJ+XT;;X;X;;;;;;;;;;;;;X
;;20. 1000-SS-05                    30        4       LV Switchgear room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
668";22.09.2022;A5AX;1;;;C22 455 020;LCJ+XT;;X;X;;;;;;;;;;;;;X
;;21. 1000-SS-05                    31        8       Corridor;SN;9;;;35-9;;22.09.2022;35;"002523 000000
244
866";22.09.2022;A5AX;1;;;C22 455 021;LCJ+XT;;X;X;;;;;;;;;;;;;;X
;;22. 1000 - SS-03                  1         6       Cable Area;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
668";22.09.2022;A5BX;2;;;C22 455 022;LCJ+XT;;X;;;;;;;;;;;;;;;;X;X
;;23. 1000 - SS-03                  3         8       HVAC ROOM;SN;9;;;35-9;;22.09.2022;35;"002523 000000
244
866";22.09.2022;A5BX;1;;;C22 455 023;LCJ+XT;;X;;;;;;;;;;;;;;;;X;;X
;;24. 1000 - SS-03                  4         8       Batery room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
468";22.09.2022;A5BX;1;;;C22 455 024;LCJ+XT;;X;;;;;;;;;;;;;;;;X;;;X
;;25. 1000 - SS-03                  5         5       Rack room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
244
466";22.09.2022;A5BX;1;;;C22 455 025;LCJ+XT;;X;;;;;;;;;;;;;;;;X;;;;X
;;26. 1000 - SS-03                  6         5       UPS Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
866";22.09.2022;A5BX;1;;;C22 455 026;LCJ+XT;;X;;;;;;;;;;;;;;;;X;;;;;X
;;27. 1000 - SS-03                  6         3       UPS Room;SN;40;;;35-40;;22.09.2022;35;"002523 000000
264
686";22.09.2022;A5BX;1;;;C22 455 027;LC+XT;;X;;;;;;;;;;;;;;;;X;;;;;;X
;;28. 1000 - SS-03                  7         1,2     Air Lock;SN;9;;;35-9;;22.09.2022;35;"002523 000000
244
666";22.09.2022;A5BX;2;;;C22 455 028;LCJ+XT;;X;;;;;;;;;;;;;;;;X;;;;;;;X
;;29. 1000 - SS-03                  11        5       Capacitor Area;SN;9;;;35-9;;22.09.2022;35;"002523 000000
264
486";22.09.2022;A5BX;1;;;C22 455 029;LCJ+XT;;X;;;;;;;;;;;;;;;;X;;;;;;;;X
;;30. 1000 - SS-03                  20        7,1     LV Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
666";22.09.2022;A5BX;2;;;C22 455 030;LCJ+XT;;X;;;;;;;;;;;;;;;;X;;;;;;;;;X
;;31. 1000 - SS-03                  21        7,1     MV Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
264
886";22.09.2022;A5BX;2;;;C22 455 031;LCJ+XT;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;X
;;32. 1000 - SS-03                  20/21     10      .;SN;40;;;35-40;;22.09.2022;35;"002523 000000
224
868";22.09.2022;A5BX;1;;;C22 455 032;LC+XT;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;X
;;33. 1000 - SS-03                  22        9       UPS Room;SN;9;;;35-9;;22.09.2022;35;"002523 000000
224
466";22.09.2022;A5BX;1;;;C22 455 033;LCJ+XT;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X
